"Genome ID","Genome Name","Version","Library Version","Amikacin","Gentamicin","Tobramycin","Kanamycin","Methicillin","Penicillin","Fusidic Acid","Vancomycin","Clindamycin","Erythromycin","Mupirocin","Linezolid","Tetracycline","Trimethoprim","Daptomycin","Rifampicin","Ciprofloxacin","Moxifloxacin","Teicoplanin"
"671a021392e79808fac97186","SGH_N121_BC16_genomic","v3.0.1","0.0.16","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","RESISTANT","RESISTANT","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","RESISTANT","NOT_FOUND","NOT_FOUND"
"671a021392e7981c69c97185","SGH_N121_BC15_genomic","v3.0.1","0.0.16","NOT_FOUND","RESISTANT","RESISTANT","RESISTANT","RESISTANT","RESISTANT","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","RESISTANT","NOT_FOUND","NOT_FOUND","NOT_FOUND","RESISTANT","NOT_FOUND","NOT_FOUND"
"671a021392e7981de1c97189","SGH_N121_BC19_genomic","v3.0.1","0.0.16","NOT_FOUND","RESISTANT","RESISTANT","RESISTANT","RESISTANT","RESISTANT","RESISTANT","NOT_FOUND","INDUCIBLE","RESISTANT","NOT_FOUND","NOT_FOUND","RESISTANT","NOT_FOUND","NOT_FOUND","NOT_FOUND","RESISTANT","NOT_FOUND","NOT_FOUND"
"671a021392e7982f30c97179","SGH_N121_BC02_genomic","v3.0.1","0.0.16","NOT_FOUND","RESISTANT","RESISTANT","RESISTANT","RESISTANT","RESISTANT","RESISTANT","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","RESISTANT","NOT_FOUND","NOT_FOUND","NOT_FOUND","RESISTANT","NOT_FOUND","NOT_FOUND"
"671a021392e7983373c97188","SGH_N121_BC18_genomic","v3.0.1","0.0.16","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","RESISTANT","RESISTANT","NOT_FOUND","NOT_FOUND","RESISTANT","RESISTANT","NOT_FOUND","NOT_FOUND","RESISTANT","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND"
"671a021392e79847cdc9717c","SGH_N121_BC05_genomic","v3.0.1","0.0.16","NOT_FOUND","RESISTANT","RESISTANT","RESISTANT","RESISTANT","RESISTANT","RESISTANT","NOT_FOUND","INDUCIBLE","RESISTANT","NOT_FOUND","NOT_FOUND","RESISTANT","NOT_FOUND","NOT_FOUND","NOT_FOUND","RESISTANT","NOT_FOUND","NOT_FOUND"
"671a021392e798506dc97181","SGH_N121_BC11_genomic","v3.0.1","0.0.16","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","RESISTANT","RESISTANT","NOT_FOUND","NOT_FOUND","INDUCIBLE","RESISTANT","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","RESISTANT","NOT_FOUND","NOT_FOUND"
"671a021392e79855cac9718b","SGH_N121_BC21_genomic","v3.0.1","0.0.16","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","RESISTANT","RESISTANT","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","RESISTANT","NOT_FOUND","NOT_FOUND"
"671a021392e79858eac9717e","SGH_N121_BC08_genomic","v3.0.1","0.0.16","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","RESISTANT","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND"
"671a021392e7985e24c97187","SGH_N121_BC17_genomic","v3.0.1","0.0.16","NOT_FOUND","RESISTANT","RESISTANT","RESISTANT","RESISTANT","RESISTANT","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","NOT_FOUND","RESISTANT","NOT_FOUND","NOT_FOUND","NOT_FOUND","RESISTANT","NOT_FOUND","NOT_FOUND"
